epoque,gagnant,nombre_de_victoires
2013 à 2023,Nigeria,67
2013 à 2023,North Korea,26
2013 à 2023,North Macedonia,38
2013 à 2023,Northern Cyprus,9
2013 à 2023,Northern Ireland,35
2013 à 2023,Northern Mariana Islands,1
2013 à 2023,Norway,48
2013 à 2023,Occitania,2
2013 à 2023,Oman,64
2013 à 2023,Orkney,4
2013 à 2023,Padania,16
2013 à 2023,Pakistan,8
2013 à 2023,Palestine,35
2013 à 2023,Panama,56
2013 à 2023,Panjab,5
2013 à 2023,Papua New Guinea,10
2013 à 2023,Paraguay,23
2013 à 2023,Parishes of Jersey,2
2013 à 2023,Peru,48
2013 à 2023,Philippines,34
2013 à 2023,Poland,59
2013 à 2023,Portugal,88
2013 à 2023,Puerto Rico,15
2013 à 2023,Qatar,86
2013 à 2023,Raetia,1
2013 à 2023,Republic of Ireland,39
2013 à 2023,Romani people,1
2013 à 2023,Romania,47
2013 à 2023,Russia,48
2013 à 2023,Rwanda,28
2013 à 2023,Saare County,2
2013 à 2023,Saint Kitts and Nevis,23
2013 à 2023,Saint Lucia,19
2013 à 2023,Saint Martin,9
2013 à 2023,Saint Vincent and the Grenadines,16
2013 à 2023,Samoa,3
2013 à 2023,Saudi Arabia,61
2013 à 2023,Scotland,48
2013 à 2023,Senegal,71
2013 à 2023,Serbia,55
2013 à 2023,Seychelles,6
2013 à 2023,Shetland,7
2013 à 2023,Sierra Leone,13
2013 à 2023,Singapore,34
2013 à 2023,Sint Maarten,7
2013 à 2023,Slovakia,51
2013 à 2023,Slovenia,41
2013 à 2023,Solomon Islands,18
2013 à 2023,Somalia,1
2013 à 2023,Somaliland,2
2013 à 2023,South Africa,58
2013 à 2023,South Korea,79
2013 à 2023,South Ossetia,4
2013 à 2023,South Sudan,12
2013 à 2023,Spain,86
2013 à 2023,Sri Lanka,7
2013 à 2023,Sudan,22
2013 à 2023,Suriname,24
2013 à 2023,Surrey,1
2013 à 2023,Sweden,66
2013 à 2023,Switzerland,63
2013 à 2023,Syria,36
2013 à 2023,Székely Land,8
2013 à 2023,Sápmi,5
2013 à 2023,São Tomé and Príncipe,4
2013 à 2023,Tahiti,10
2013 à 2023,Taiwan,19
2013 à 2023,Tajikistan,27
2013 à 2023,Tamil Eelam,8
2013 à 2023,Tanzania,28
2013 à 2023,Thailand,45
2013 à 2023,Timor-Leste,4
2013 à 2023,Togo,22
2013 à 2023,Trinidad and Tobago,38
2013 à 2023,Tunisia,65
2013 à 2023,Turkey,60
2013 à 2023,Turkmenistan,14
2013 à 2023,Turks and Caicos Islands,8
2013 à 2023,Tuvalu,2
2013 à 2023,Uganda,52
2013 à 2023,Ukraine,59
2013 à 2023,United Arab Emirates,69
2013 à 2023,United Koreans in Japan,2
2013 à 2023,United States,96
2013 à 2023,United States Virgin Islands,5
2013 à 2023,Uruguay,64
2013 à 2023,Uzbekistan,59
2013 à 2023,Vanuatu,9
2013 à 2023,Venezuela,30
2013 à 2023,Vietnam,41
2013 à 2023,Wales,44
2013 à 2023,Western Armenia,5
2013 à 2023,Western Isles,6
2013 à 2023,Yemen,10
2013 à 2023,Ynys Môn,12
2013 à 2023,Yorkshire,5
2013 à 2023,Zambia,55
2013 à 2023,Zanzibar,5
2013 à 2023,Zimbabwe,38
2013 à 2023,Åland Islands,3
